p1.- asignaturas inscritas;p2.- asignaturas aprobadas;aprobado;p[3.1 Aprendí más de lo que esperaba en modalidad online];p[3.2 Aprendí mucho conversando con mis compañeros];p[3.3 Aprendí lo necesario para aprobar las asignaturas aprobé];p[3.4 Si mido lo que aprendí, mis notas fueron mejores esperaba];p[3.5 Aprendí todo lo que corresponde las asignaturas cursadas];p[3.6 Estoy motivado por aprender en la modalidad online];p[3.7 Me gusta participar de charlas fuera de mis asignaturas];p[3.8 La participación grupos extracurriculares interesa poco];p[3.9 Me gustaría estar en un grupo extracur FUERA de mi área];p[3.10 Las clases online me motivan];p4.-su rendimiento fue
6;6;100;Parcialmente de acuerdo;Totalmente de acuerdo;Parcialmente de acuerdo;Totalmente de acuerdo;Parcialmente en desacuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Parcialmente en desacuerdo;Parcialmente de acuerdo;Totalmente en desacuerdo;Bien
6;6;100;Parcialmente en desacuerdo;Indeciso;Indeciso;Indeciso;Parcialmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente de acuerdo;Parcialmente en desacuerdo;Totalmente en desacuerdo;Regular
6;6;100;Parcialmente en desacuerdo;Parcialmente en desacuerdo;Parcialmente en desacuerdo;Parcialmente en desacuerdo;Indeciso;Indeciso;Indeciso;Parcialmente en desacuerdo;Indeciso;Indeciso;Regular
6;6;100;Indeciso;Indeciso;Totalmente de acuerdo;Parcialmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Indeciso;Indeciso;Parcialmente en desacuerdo;Indeciso;Regular
6;6;100;Indeciso;Totalmente de acuerdo;Parcialmente de acuerdo;Parcialmente de acuerdo;Parcialmente de acuerdo;Parcialmente de acuerdo;Totalmente en desacuerdo;Parcialmente de acuerdo;Indeciso;Parcialmente en desacuerdo;Bien
6;6;100;Indeciso;Parcialmente de acuerdo;Parcialmente de acuerdo;Parcialmente de acuerdo;Indeciso;Indeciso;Parcialmente de acuerdo;Parcialmente de acuerdo;Parcialmente de acuerdo;Indeciso;Regular
5;5;100;Indeciso;Parcialmente de acuerdo;Parcialmente de acuerdo;Parcialmente de acuerdo;Indeciso;Parcialmente de acuerdo;Indeciso;Indeciso;Parcialmente de acuerdo;Indeciso;Bien
6;6;100;Indeciso;Parcialmente de acuerdo;Parcialmente de acuerdo;Parcialmente de acuerdo;Indeciso;Indeciso;Parcialmente de acuerdo;Parcialmente de acuerdo;Parcialmente de acuerdo;Indeciso;Regular
5;5;100;Totalmente de acuerdo;Parcialmente de acuerdo;Parcialmente de acuerdo;Totalmente de acuerdo;Indeciso;Totalmente en desacuerdo;Indeciso;Parcialmente en desacuerdo;Parcialmente de acuerdo;Totalmente en desacuerdo;Bien
5;5;100;Totalmente de acuerdo;Indeciso;Parcialmente de acuerdo;Totalmente de acuerdo;Parcialmente de acuerdo;Indeciso;Indeciso;Totalmente de acuerdo;Parcialmente de acuerdo;Parcialmente de acuerdo;Bien
5;5;100;Parcialmente de acuerdo;Parcialmente en desacuerdo;Totalmente de acuerdo;Parcialmente de acuerdo;Parcialmente de acuerdo;Parcialmente de acuerdo;Totalmente de acuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Indeciso;Muy bien
5;5;100;Parcialmente en desacuerdo;Indeciso;Parcialmente de acuerdo;Totalmente de acuerdo;Parcialmente en desacuerdo;Totalmente en desacuerdo;Parcialmente en desacuerdo;Indeciso;Totalmente en desacuerdo;Totalmente en desacuerdo;Bien
5;5;100;Totalmente de acuerdo;Parcialmente de acuerdo;Indeciso;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Parcialmente de acuerdo;Parcialmente de acuerdo;Totalmente de acuerdo;Indeciso;Muy bien
5;5;100;Indeciso;Parcialmente en desacuerdo;Parcialmente de acuerdo;Parcialmente de acuerdo;Parcialmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Parcialmente en desacuerdo;Bien
5;5;100;Parcialmente en desacuerdo;Parcialmente en desacuerdo;Indeciso;Parcialmente de acuerdo;Parcialmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Indeciso;Indeciso;Totalmente en desacuerdo;Mal
5;5;100;Indeciso;Parcialmente en desacuerdo;Parcialmente de acuerdo;Parcialmente de acuerdo;Parcialmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Parcialmente en desacuerdo;Bien
5;5;100;Parcialmente de acuerdo;Indeciso;Parcialmente de acuerdo;Indeciso;Parcialmente de acuerdo;Totalmente de acuerdo;Indeciso;Parcialmente en desacuerdo;Indeciso;Totalmente de acuerdo;Bien
5;5;100;Parcialmente de acuerdo;Totalmente en desacuerdo;Parcialmente de acuerdo;Indeciso;Totalmente de acuerdo;Indeciso;Parcialmente en desacuerdo;Indeciso;Parcialmente de acuerdo;Parcialmente de acuerdo;Muy bien
6;6;100;Parcialmente en desacuerdo;Parcialmente de acuerdo;Parcialmente en desacuerdo;Parcialmente de acuerdo;Parcialmente en desacuerdo;Totalmente en desacuerdo;Parcialmente de acuerdo;Totalmente en desacuerdo;Parcialmente en desacuerdo;Totalmente en desacuerdo;Bien
5;5;100;Indeciso;Parcialmente en desacuerdo;Parcialmente de acuerdo;Parcialmente de acuerdo;Parcialmente en desacuerdo;Parcialmente en desacuerdo;Totalmente de acuerdo;Totalmente en desacuerdo;Parcialmente en desacuerdo;Parcialmente en desacuerdo;Regular
6;6;100;Indeciso;Parcialmente de acuerdo;Parcialmente de acuerdo;Totalmente de acuerdo;Indeciso;Indeciso;Indeciso;Totalmente de acuerdo;Totalmente de acuerdo;Parcialmente en desacuerdo;Regular
6;6;100;Totalmente en desacuerdo;Totalmente de acuerdo;Indeciso;Totalmente de acuerdo;Indeciso;Totalmente en desacuerdo;Indeciso;Totalmente de acuerdo;Parcialmente de acuerdo;Totalmente en desacuerdo;Muy bien
5;5;100;Totalmente en desacuerdo;Parcialmente de acuerdo;Indeciso;Indeciso;Totalmente en desacuerdo;Totalmente en desacuerdo;Parcialmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Regular
6;6;100;Indeciso;Totalmente de acuerdo;Parcialmente de acuerdo;Parcialmente de acuerdo;Indeciso;Totalmente en desacuerdo;Indeciso;Totalmente de acuerdo;Totalmente en desacuerdo;Parcialmente en desacuerdo;Bien
6;6;100;Indeciso;Indeciso;Parcialmente de acuerdo;Parcialmente de acuerdo;Parcialmente de acuerdo;Indeciso;Indeciso;Indeciso;Totalmente en desacuerdo;Indeciso;Regular
6;6;100;Indeciso;Parcialmente de acuerdo;Parcialmente de acuerdo;Indeciso;Indeciso;Parcialmente de acuerdo;Parcialmente en desacuerdo;Indeciso;Totalmente en desacuerdo;Parcialmente de acuerdo;Bien
6;6;100;Indeciso;Parcialmente de acuerdo;Parcialmente de acuerdo;Parcialmente de acuerdo;Indeciso;Parcialmente de acuerdo;Parcialmente en desacuerdo;Totalmente en desacuerdo;Indeciso;Indeciso;Bien
6;6;100;Indeciso;Parcialmente de acuerdo;Parcialmente de acuerdo;Parcialmente de acuerdo;Indeciso;Indeciso;Parcialmente en desacuerdo;Parcialmente de acuerdo;Parcialmente en desacuerdo;Parcialmente de acuerdo;Bien
